owner,score,for,against,total score,total for,total against
grobelnydg,146.86,11,0,1932.98,127,38
terrierlefty,124.72,10,1,1929.32,113,52
rickydimuzio5,123.68,9,2,1852.92,107,58
jeffmcdougal,120.62,8,3,1500.4,62,103
CHIEFxWAHOO,115.26,7,4,1762.76,99,66
markist,105.5,6,5,1593.96,69,96
jbohannan,99.44,5,6,1763.68,99,66
MattyIce824,90.14,4,7,1625.24,78,87
LTreu,85.32,3,8,1622.74,72,93
hotboiz,79.52,2,9,1579.62,77,88
Sandpharoah,54.52,1,10,1479.36,57,108
bhillman42,54.08,0,11,1248.36,30,135
